Model,Name,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW,ScaleX,ScaleY,ScaleZ
0,Ghost-LeftHand(Clone),-0.07,-0.033,0,-0.9108527,-0.3704197,-0.02488301,0.1803262,1,1,1
0,OculusHand_L,0,0,0,0,0,0,1,1,1,1
0,b_l_wrist,0,0,0,0,1,0,0,1,1,1
0,b_l_index1,-0.09599624,0.007316454,-0.02355068,0.03217737,0.01650527,-0.1402662,0.9894532,1,1,1
0,b_l_index2,-0.0379273,-2.220446E-18,-8.881784E-18,-0.02625742,0.004216054,-0.1136952,0.9931597,1,1,1
0,b_l_index3,-0.02430364,3.053113E-18,4.440892E-18,-0.0163441,0.02637444,0.02121037,0.9992934,1,1,1
0,b_l_middle1,-0.0956466,0.002543155,-0.001725905,-0.01244077,0.02830588,-0.1990241,0.9795067,1,1,1
0,b_l_middle2,-0.04292699,0,0,-0.01155182,0.003783452,-0.05049891,0.9986501,1,1,1
0,b_l_middle3,-0.02754958,0,-4.440892E-18,-0.03992617,0.002186895,0.03743149,0.9984989,1,1,1
0,b_l_pinky0,-0.03407356,0.009419835,0.02299857,-0.2070359,0.1403428,-0.0183118,0.9680417,1,1,1
0,b_l_pinky1,-0.04565054,9.982332E-07,-2.194025E-06,0.08928365,-0.02386952,-0.1479123,0.9846728,1,1,1
0,b_l_pinky2,-0.03072041,-3.330669E-18,-8.881784E-18,-0.04248507,0.04072915,-0.04255448,0.9973592,1,1,1
0,b_l_pinky3,-0.02031138,6.661338E-18,-8.881784E-18,0.0007555407,-0.04915993,-0.008062598,0.9987581,1,1,1
0,b_l_ring1,-0.08869379,0.006529307,0.01746524,-0.05732931,0.03677606,-0.1701204,0.9830666,1,1,1
0,b_l_ring2,-0.0389961,7.771561E-18,-8.881784E-18,-0.03427269,0.001917931,-0.03165291,0.9989093,1,1,1
0,b_l_ring3,-0.0265734,-4.440892E-18,0,-0.005300274,-0.02936627,-0.01380716,0.9994594,1,1,1
0,b_l_thumb0,-0.0200693,0.0115541,-0.01049652,0.3688488,-0.4301986,0.02041377,0.8236887,1,1,1
0,b_l_thumb1,-0.02485256,-8.881784E-18,1.054712E-17,0.250395,-0.1032372,-0.1454957,0.9515647,1,1,1
0,b_l_thumb2,-0.03251291,1.776357E-17,-2.609024E-17,-0.07997542,0.04177843,-0.3017863,0.9490962,1,1,1
0,b_l_thumb3,-0.03379309,-1.332268E-17,3.441691E-17,0.0851376,-0.07458396,0.1861558,0.9759789,1,1,1
